token,frequency
member,1407
party,1343
state,1142
election,1088
deputy,1003
minister,817
european,797
president,736
national,720
committee,718
elected,716
parliament,700
parliamentary,679
university,660
became,562
year,556
law,532
government,526
people,517
political,514
woman,505
council,500
first,497
head,468
international,464
served,456
united,431
one,410
worked,410
union,409
right,408
time,401
candidate,393
list,366
group,364
appointed,357
school,350
vote,348
public,345
social,341
education,328
graduated,328
new,326
relation,318
development,307
prime,306
affair,300
part,300
two,299
former,297
city,295
later,291
department,289
republic,281
child,279
position,279
office,270
director,269
institute,266
district,262
policy,262
following,260
foreign,260
leader,253
ministry,252
country,247
science,244
family,243
degree,237
order,234
regional,234
assembly,228
democratic,228
world,228
received,226
chairman,226
general,224
work,220
organization,219
region,219
support,214
economic,213
company,213
would,212
europe,208
second,208
term,208
presidential,204
medium,202
co,201
administration,201
day,199
held,199
business,197
security,195
vice,195
according,193
local,192
human,191
court,190
eu,189
service,188
opposition,187
took,185
official,185
award,184
project,184
commission,180
including,180
well,178
secretary,178
war,175
study,174
constituency,173
said,171
married,170
association,170
program,167
working,166
academy,166
campaign,165
left,165
joined,162
cabinet,161
communist,161
mayor,160
energy,160
board,153
youth,152
daughter,151
husband,150
protest,149
activity,148
center,148
film,148
stated,146
announced,145
case,145
central,143
justice,143
called,143
management,141
several,140
culture,140
seat,140
governor,140
three,138
faculty,138
mp,138
language,137
representative,137
journalist,137
began,136
health,134
teacher,132
independent,131
interest,131
bank,131
convocation,131
chair,130
ran,128
legal,127
life,127
post,127
led,126
economics,126
corruption,126
issue,125
father,124
reform,124
place,123
activist,122
role,122
system,122
result,119
force,119
legislative,119
electoral,118
number,118
liberal,118
published,118
politics,117
together,117
chamber,117
studied,117
mother,116
civil,116
son,115
high,114
information,114
prosecutor,114
authority,112
cooperation,112
made,112
chief,112
resigned,111
due,110
meeting,110
press,110
protection,110
fund,110
among,109
started,109
research,109
foundation,109
house,108
financial,108
civic,107
lawyer,107
movement,107
platform,107
federal,107
however,106
anti,105
early,105
month,103
executive,103
master,102
serving,102
english,101
book,100
criminal,100
medical,99
named,98
speech,98
special,98
power,97
delegation,97
report,97
socialist,97
article,97
senate,97
faction,96
career,96
sanctioned,95
television,94
budget,94
million,94
awarded,93
defense,93
figure,93
police,93
society,93
tv,93
finance,93
many,92
u,92
third,92
action,91
invasion,91
