trigram,frequency
deputy_prime_minister,41
born_politician_served,38
born_politician_elected,36
political_figure_deputy,33
term_representing_constituency,31
sanctioned_uk_government,26
national_assembly_mp,25
inter_parliamentary_relation,24
committee_foreign_affair,23
tara_national_university,22
foreign_affair_minister,21
servant_people_party,20
candidate_presidential_election,19
former_prime_minister,19
right_bear_arm,19
born_politician_serving,18
government_relation_war,17
state_sanctioned_uk,16
ministry_foreign_affair,15
archived_wayback_machine,15
