bigram,count
"('born', 'politician')",739
"('member', 'board')",607
"('national', 'assembly')",526
"('federal', 'election')",478
"('parliamentary', 'group')",471
"('democratic', 'party')",390
"('house', 'representative')",362
"('became', 'member')",319
"('member', 'national')",312
"('legislative', 'election')",306
"('national', 'council')",304
"('social', 'democratic')",297
"('vice', 'president')",272
"('member', 'parliament')",270
"('prime', 'minister')",262
"('served', 'member')",258
"('member', 'committee')",246
"('green', 'party')",246
"('state', 'election')",223
"('board', 'trustee')",220
"('people', 'party')",212
"('social', 'affair')",210
"('socialist', 'party')",210
"('european', 'parliament')",196
"('member', 'state')",196
"('politician', 'member')",190
"('christian', 'democratic')",189
"('serving', 'member')",187
"('member', 'federal')",184
"('working', 'group')",184
"('general', 'election')",179
"('friendship', 'group')",179
"('municipal', 'council')",177
"('official', 'website')",171
"('european', 'union')",170
"('supervisory', 'board')",167
"('alliance', 'green')",161
"('board', 'director')",158
"('elected', 'member')",156
"('committee', 'assignment')",155
"('addition', 'committee')",154
"('member', 'house')",149
"('parliamentary', 'friendship')",149
"('member', 'advisory')",147
"('election', 'elected')",145
"('foreign', 'affair')",142
"('second', 'round')",141
"('politician', 'served')",139
"('member', 'supervisory')",138
"('human', 'right')",135
"('advisory', 'board')",134
"('state', 'secretary')",133
"('presidential', 'election')",131
"('municipal', 'election')",130
"('political', 'science')",129
"('negotiation', 'form')",129
"('state', 'parliament')",128
"('announced', 'would')",127
"('parliamentary', 'assembly')",126
"('first', 'round')",124
"('minister', 'president')",124
"('party', 'member')",118
"('democratic', 'union')",118
"('high', 'school')",116
"('coalition', 'government')",114
"('politician', 'social')",114
"('city', 'council')",113
"('website', 'biography')",113
"('left', 'party')",112
"('economic', 'affair')",109
"('master', 'degree')",108
"('first', 'woman')",107
"('party', 'list')",106
"('elected', 'national')",105
"('labour', 'party')",105
"('ex', 'member')",102
"('federal', 'council')",100
"('affair', 'committee')",100
"('following', 'federal')",98
"('united', 'nation')",97
"('studied', 'law')",92
"('biography', 'english')",92
"('member', 'parliamentary')",91
"('assembly', 'representing')",91
"('federal', 'minister')",90
"('secretary', 'state')",89
"('consumer', 'protection')",89
"('served', 'minister')",88
"('law', 'university')",88
"('medium', 'related')",87
"('left', 'wing')",87
"('member', 'senate')",86
"('free', 'democratic')",86
"('deputy', 'chairwoman')",84
"('covid', 'pandemic')",84
"('party', 'freedom')",83
"('member', 'delegation')",83
"('foundation', 'member')",83
"('politician', 'christian')",82
"('delegation', 'working')",82
